zipCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
11749,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11751,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11752,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11754,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11755,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11757,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11758,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11763,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11764,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11766,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11767,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11768,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,1.0,0.6555378196156582
11769,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11770,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11772,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,2.0,1.3110756392313163
11776,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11777,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11778,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11779,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11780,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11782,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11784,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11786,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11787,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,1.0,0.6555378196156582
11788,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,1.0,0.6555378196156582
11789,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11790,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,3.0,1.9666134588469744
11791,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11792,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11794,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,70.0,45.88764737309607
11795,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,1.0,0.6555378196156582
11796,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,4.0,2.6221512784626326
11797,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11798,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11803,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,1.0,0.6555378196156582
11804,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11901,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11930,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11931,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11932,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11933,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11934,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11935,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11937,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11939,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11940,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11941,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,1.0,0.6555378196156582
11942,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11944,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11946,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11947,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11948,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11949,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11950,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11951,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11952,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11953,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11954,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11955,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11956,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,2.0,1.3110756392313163
11957,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11958,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11959,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11960,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11961,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11962,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11963,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11964,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11965,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11967,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11968,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11970,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
11971,9997.0,11667.0,2742.0,139.2,522.0,60558.0,1525465.0,12.8,0.0,0.0
