countyCode,AverageAnnualCount,PovertyEst,avgDeathsPerYear,deathRate,incidentRate,medIncome,popEst2020,povertyPercent,studyCount,studyPerCap
40109,3683.0,2395,1455.0,172.4,432.6,43544.0,802559.0,23.8,269.0,335.17784985278337
40111,254.0,125992,104.0,197.3,503.5,61580.0,36990.0,16.0,1.0,27.034333603676668
40113,262.0,6844,109.0,159.0,384.4,45754.0,45839.0,19.2,0.0,0.0
40115,200.0,6270,90.0,213.5,500.8,58677.0,30338.0,14.1,72.0,2373.2612565099876
40117,110.0,5806,42.0,182.6,483.6000000000001,47855.0,15757.0,19.8,0.0,0.0
40119,335.0,2618,127.0,165.1,442.5,54690.0,82794.0,16.9,9.0,108.70352924124937
40121,264.0,14232,123.0,193.4,439.7,51236.0,43613.0,19.4,0.0,0.0
40123,223.0,7068,83.0,172.7,481.2,47930.0,38141.0,17.1,0.0,0.0
40125,412.0,5262,174.0,193.8,468.9,56077.0,73533.0,14.1,0.0,0.0
40127,80.0,13444,35.0,187.1,486.8,52695.0,10769.0,19.2,1.0,92.85913269570062
40129,23.0,2344,10.0,174.0,479.0,39267.0,3320.0,22.1,0.0,0.0
40131,530.0,538,201.0,173.6,464.3999999999999,55183.0,98836.0,16.3,0.0,0.0
40133,129.0,10019,66.0,199.5,401.0,72952.0,23351.0,10.3,0.0,0.0
40135,271.0,5672,117.0,209.0,496.1,44114.0,39667.0,25.0,0.0,0.0
40137,281.0,8282,115.0,182.1,464.8,47450.0,43710.0,21.2,1.0,22.878059940517044
40139,82.0,8361,35.0,190.9,414.5,55309.0,20495.0,19.4,12.0,585.5086606489388
40141,42.0,2543,19.0,182.8,420.7,60719.0,6977.0,12.7,0.0,0.0
40143,3417.0,1446,1205.0,165.8,472.2,44333.0,677358.0,21.1,113.0,166.82463335488768
40145,410.0,102568,138.0,139.1,411.1,63442.0,86644.0,15.4,0.0,0.0
40147,318.0,7946,142.0,187.1,450.9,73851.0,53242.0,9.2,3.0,56.346493369895946
40149,60.0,7268,26.0,171.6,417.9,61704.0,10732.0,14.0,0.0,0.0
40151,49.0,1825,19.0,162.0,442.5,54789.0,8587.0,17.4,0.0,0.0
42101,7939.0,3968,3005.0,175.2,462.1,67834.0,1567258.0,8.7,976.0,622.7436707931943
42103,413.0,325746,128.0,138.4,472.3,56385.0,60558.0,21.5,2.0,33.02618976848641
42105,119.0,5417,48.0,171.0,449.8,81886.0,16220.0,9.0,0.0,0.0
42107,1096.0,2399,417.0,192.0,526.8,53935.0,143104.0,15.0,61.0,426.26341681574235
42109,254.0,16576,83.0,140.8,461.9,63680.0,39652.0,12.2,11.0,277.4134974276203
42111,537.0,3635,182.0,149.4,475.7,62382.0,72710.0,9.8,5.0,68.7663320038509
42113,55.0,9781,21.0,178.9,483.2,50516.0,5855.0,14.299999999999999,13.0,2220.3245089666952
42115,288.0,739,112.0,159.4,446.5,59957.0,38074.0,13.1,0.0,0.0
42117,276.0,4219,105.0,161.7,444.6,63413.0,41106.0,11.2,0.0,0.0
42119,266.0,4822,81.0,130.7,457.69999999999993,61190.0,42744.0,12.2,35.0,818.8283735728992
42121,382.0,4022,140.0,162.3,481.4,65521.0,49777.0,11.4,18.0,361.61279305703437
42123,298.0,6772,118.0,175.4,480.6,52449.0,37808.0,13.8,0.0,0.0
42125,1494.0,5002,545.0,170.6,496.7,56707.0,210383.0,13.5,34.0,161.61001601840454
